.mag.0,.mag.1,.mag.2
2901,-4074,4542
2942,-4025,4544
2942,-4025,4544
2942,-4025,4544
2942,-4025,4544
2954,-4027,4580
2954,-4027,4580
2954,-4027,4580
3010,-4047,4620
3010,-4047,4620
3010,-4047,4620
3010,-4047,4620
3048,-4064,4653
3048,-4064,4653
3048,-4064,4653
3061,-4053,4669
3061,-4053,4669
3061,-4053,4669
3061,-4053,4669
3120,-4079,4713
3120,-4079,4713
3120,-4079,4713
3156,-4081,4753
3156,-4081,4753
3156,-4081,4753
3146,-4056,4742
3146,-4056,4742
3146,-4056,4742
3146,-4056,4742
3197,-4097,4816
3197,-4097,4816
3197,-4097,4816
3244,-4081,4836
3244,-4081,4836
3244,-4081,4836
3244,-4081,4836
3255,-4103,4880
3255,-4103,4880
3255,-4103,4880
3324,-4116,4878
3324,-4116,4878
3324,-4116,4878
3343,-4113,4889
3343,-4113,4889
3343,-4113,4889
3422,-4133,4921
3422,-4133,4921
3422,-4133,4921
3422,-4133,4921
3435,-4172,4917
3435,-4172,4917
3435,-4172,4917
3463,-4161,4992
3463,-4161,4992
3463,-4161,4992
3463,-4161,4992
3491,-4186,5010
3491,-4186,5010
3491,-4186,5010
3535,-4181,5057
3535,-4181,5057
3535,-4181,5057
3535,-4181,5057
3547,-4216,5054
3547,-4216,5054
3547,-4216,5054
3582,-4213,5115
3582,-4213,5115
3582,-4213,5115
3582,-4213,5115
3617,-4229,5162
3617,-4229,5162
3617,-4229,5162
3650,-4229,5153
3650,-4229,5153
3650,-4229,5153
3650,-4229,5153
3674,-4231,5191
3674,-4231,5191
3674,-4231,5191
3730,-4302,5241
3730,-4302,5241
3730,-4302,5241
3730,-4302,5241
3753,-4319,5292
3753,-4319,5292
3753,-4319,5292
3774,-4344,5340
3774,-4344,5340
3774,-4344,5340
3774,-4344,5340
3846,-4390,5347
3846,-4390,5347
3846,-4390,5347
3838,-4397,5381
3838,-4397,5381
3838,-4397,5381
3838,-4397,5381
3866,-4406,5412
3866,-4406,5412
3866,-4406,5412
3923,-4437,5422
3923,-4437,5422
3923,-4437,5422
3909,-4463,5434
3909,-4463,5434
3909,-4463,5434
3909,-4463,5434
3963,-4478,5470
3963,-4478,5470
3963,-4478,5470
4010,-4535,5528
4010,-4535,5528
4010,-4535,5528
4010,-4535,5528
4021,-4560,5589
4021,-4560,5589
4021,-4560,5589
4073,-4613,5640
4073,-4613,5640
4073,-4613,5640
4088,-4658,5676
4227,-4772,5808
4247,-4808,5853
4247,-4808,5853
4247,-4808,5853
4278,-4876,5916
4278,-4876,5916
4278,-4876,5916
4278,-4876,5916
4327,-4934,5952
4327,-4934,5952
4327,-4934,5952
4376,-4983,5962
4376,-4983,5962
4376,-4983,5962
4376,-4983,5962
4381,-5010,6064
4381,-5010,6064
4381,-5010,6064
4411,-5062,6072
4411,-5062,6072
4411,-5062,6072
4404,-5084,6092
4404,-5084,6092
4404,-5084,6092
4408,-5097,6130
4408,-5097,6130
4408,-5097,6130
4408,-5097,6130
4399,-5069,6174
4399,-5069,6174
4399,-5069,6174
4415,-5082,6171
4415,-5082,6171
4415,-5082,6171
4415,-5082,6171
4426,-5111,6164
4426,-5111,6164
4426,-5111,6164
4430,-5129,6210
4430,-5129,6210
4430,-5129,6210
4414,-5169,6317
4414,-5169,6317
4414,-5169,6317
4414,-5169,6317
4408,-5172,6379
4408,-5172,6379
4408,-5172,6379
4409,-5219,6457
4409,-5219,6457
4409,-5219,6457
4409,-5219,6457
4403,-5247,6504
4403,-5247,6504
4403,-5247,6504
4422,-5283,6507
4422,-5283,6507
4422,-5283,6507
4422,-5283,6507
4435,-5333,6481
4435,-5333,6481
4435,-5333,6481
4496,-5331,6435
4496,-5331,6435
4496,-5331,6435
4496,-5331,6435
4473,-5361,6444
4473,-5361,6444
4473,-5361,6444
4473,-5409,6458
4469,-5409,6458
4469,-5409,6458
4469,-5409,6458
4507,-5441,6442
4507,-5441,6442
4507,-5441,6442
4507,-5441,6442
4524,-5483,6454
4524,-5483,6454
4524,-5483,6454
4524,-5483,6454
4554,-5536,6448
4554,-5536,6448
4554,-5536,6448
4554,-5536,6448
4565,-5590,6433
4565,-5590,6433
4565,-5590,6433
4604,-5666,6482
4604,-5666,6482
4604,-5666,6482
4604,-5666,6482
4587,-5674,6445
4587,-5674,6445
4587,-5674,6445
4623,-5728,6470
4623,-5728,6470
4623,-5728,6470
4623,-5728,6470
4619,-5738,6490
4619,-5738,6490
4619,-5738,6490
4658,-5814,6502
4658,-5814,6502
4658,-5814,6502
4633,-5853,6516
4633,-5853,6516
4633,-5853,6516
4633,-5853,6516
4664,-5909,6488
4664,-5909,6488
4664,-5909,6488
4623,-5948,6548
4623,-5948,6548
4623,-5948,6548
4623,-5948,6548
4675,-5997,6533
4675,-5997,6533
4675,-5997,6533
4690,-6053,6490
4690,-6053,6490
4690,-6053,6490
4719,-6075,6526
4719,-6075,6526
4719,-6075,6526
4719,-6075,6526
4728,-6117,6500
4728,-6117,6500
4728,-6117,6500
4739,-6132,6483
4739,-6132,6483
4739,-6132,6483
4739,-6132,6483
4752,-6177,6483
4752,-6177,6483
4752,-6177,6483
4772,-6217,6464
4772,-6217,6464
4772,-6217,6464
4772,-6217,6464
4793,-6251,6432
4793,-6251,6432
4793,-6251,6432
4806,-6302,6393
4806,-6302,6393
4806,-6302,6393
4806,-6302,6393
4804,-6390,6367
4804,-6390,6367
4804,-6390,6367
4811,-6408,6322
4811,-6408,6322
4811,-6408,6322
4867,-6447,6292
4867,-6447,6292
4867,-6447,6292
4867,-6447,6292
4851,-6513,6257
4851,-6513,6257
4851,-6513,6257
4850,-6584,6218
4850,-6584,6218
4850,-6584,6218
4850,-6584,6218
4859,-6623,6203
4859,-6623,6203
4859,-6623,6203
4859,-6623,6203
4874,-6653,6163
4874,-6653,6163
4874,-6653,6163
4880,-6670,6149
4880,-6670,6149
4880,-6670,6149
4880,-6670,6149
4867,-6698,6121
4867,-6698,6121
4867,-6698,6121
4867,-6698,6121
4877,-6709,6080
4877,-6709,6080
4877,-6709,6080
4877,-6709,6080
4893,-6747,6065
4893,-6747,6065
4893,-6747,6065
4893,-6804,5997
4909,-6804,5997
4909,-6804,5997
4909,-6804,5997
4883,-6827,5964
4883,-6827,5964
4883,-6827,5964
4883,-6827,5964
4895,-6855,5872
4895,-6855,5872
4895,-6855,5872
4894,-6864,5863
4894,-6864,5863
4894,-6864,5863
4894,-6864,5863
4901,-6853,5773
4901,-6853,5773
4901,-6853,5773
4903,-6896,5751
4903,-6896,5751
4903,-6896,5751
4903,-6896,5751
4922,-6921,5684
4922,-6921,5684
4922,-6921,5684
4891,-6942,5632
4891,-6942,5632
4891,-6942,5632
